SKU,Column,Attribute,Value,UOM,Provenance,Certified,Nonconformity,Source Quote,Verifier Signals
DCB518ASTS06G,Dept,,Tools & Equipment,,routed,yes,,Sanding | Belt,
DCB518ASTS06G,Class,,Power Tool Accessories,,routed,yes,,Sanding | Belt,
DCB518ASTS06G,Fine,,"Sanding Belts, Discs & Sheets",,routed,yes,,Sanding | Belt,
DCB518ASTS06G,Mfg_Part_Num,,DCB518ASTS06G,,passthrough,yes,,,
DCB518ASTS06G,Part_Desc,,"DCB518ASTS06G Diablo 1/2""x18"" - Sanding Belt 6pc",,passthrough,yes,,,
DCB518ASTS06G,E1_Brand,,-- Unbranded --,,passthrough,yes,,,
DCB518ASTS06G,Unilog_Brand,,-- No Unilog Brand --,,passthrough,yes,,,
DCB518ASTS06G,DIB_Brand,,-- No DIB Brand --,,passthrough,yes,,,
DCB518ASTS06G,Part_Manuf,,Freud Inc (2435),,passthrough,yes,,,
DCB518ASTS06G,MANUFACTURER_NAME,,Freud Inc,,passthrough,yes,,,
DCB518ASTS06G,BRAND_NAME,,Diablo,,passthrough,yes,,,
DCB518ASTS06G,MANUFACTURER_PART_NUMBER,,DCB518ASTS06G,,passthrough,yes,,,
DCB518ASTS06G,Classpath,,Tools & Equipment>Power Tool Accessories>Coated Abrasives,,routed,yes,,Sanding | Belt,
DCB518ASTS06G,MOBILE_DESC,,"Freud Inc Diablo, Sanding Belt, DCB518ASTS06G, 1/2""x18"", 6pc Quantity",,composed,yes,,"Sanding Belt | 1/2""x18"" | 6pc",
DCB518ASTS06G,INVOICE_DESC,,"SANDING BELT 1/2""X18"" 6PC",,composed,yes,,"Sanding Belt | 1/2""x18"" | 6pc",
DCB518ASTS06G,SHORT_DESC,,"Diablo DCB518ASTS06G Sanding Belt, 1/2""x18"", 6pc Quantity",,composed,yes,,"Sanding Belt | 1/2""x18"" | 6pc",
DCB518ASTS06G,LONG_DESC1,,"Diablo Sanding Belt, 1/2""x18"", 6pc Quantity",,composed,yes,,"Sanding Belt | 1/2""x18"" | 6pc",
DCB518ASTS06G,RETAIL_DESC,,"Sanding Belt, 1/2""x18"", 6pc Quantity",,composed,yes,,"Sanding Belt | 1/2""x18"" | 6pc",
DCB518ASTS06G,Product Name,product_name,Sanding Belt,,derived,yes,,Sanding Belt,"dimensional: abstained (product_name is text, not a physical quantity) ; constraint: abstained (no constraint in generic mentions product_name) ; identity: 1.00 (product_name 'Sanding Belt' appears verbatim in the source) ; vocabulary: abstained (product_name is text, not a controlled term)"
DCB518ASTS06G,ATTRIBUTE_LABEL 1,product_name,Product Name,,derived,yes,,,"dimensional: abstained (product_name is text, not a physical quantity) ; constraint: abstained (no constraint in generic mentions product_name) ; identity: 1.00 (product_name 'Sanding Belt' appears verbatim in the source) ; vocabulary: abstained (product_name is text, not a controlled term)"
DCB518ASTS06G,ATTRIBUTE_VALUE 1,product_name,Sanding Belt,,extracted,no,,Sanding Belt,"dimensional: abstained (product_name is text, not a physical quantity) ; constraint: abstained (no constraint in generic mentions product_name) ; identity: 1.00 (product_name 'Sanding Belt' appears verbatim in the source) ; vocabulary: abstained (product_name is text, not a controlled term)"
DCB518ASTS06G,ATTRIBUTE_LABEL 2,brand,Brand,,derived,yes,,,"dimensional: abstained (brand is text, not a physical quantity) ; constraint: abstained (no constraint in generic mentions brand) ; identity: 1.00 (brand 'Diablo' appears verbatim in the source) ; vocabulary: abstained (brand is text, not a controlled term)"
DCB518ASTS06G,ATTRIBUTE_VALUE 2,brand,Diablo,,extracted,no,,Diablo,"dimensional: abstained (brand is text, not a physical quantity) ; constraint: abstained (no constraint in generic mentions brand) ; identity: 1.00 (brand 'Diablo' appears verbatim in the source) ; vocabulary: abstained (brand is text, not a controlled term)"
DCB518ASTS06G,ATTRIBUTE_LABEL 3,material,Material,,derived,yes,,,
DCB518ASTS06G,ATTRIBUTE_LABEL 4,color,Color,,derived,yes,,,
DCB518ASTS06G,ATTRIBUTE_LABEL 5,size,Size,,derived,yes,,,"dimensional: abstained (size is text, not a physical quantity) ; constraint: abstained (no constraint in generic mentions size) ; identity: abstained (size is not an identity claim) ; vocabulary: abstained (size is text, not a controlled term)"
DCB518ASTS06G,ATTRIBUTE_VALUE 5,size,"1/2""x18""",,extracted,no,,"1/2""x18""","dimensional: abstained (size is text, not a physical quantity) ; constraint: abstained (no constraint in generic mentions size) ; identity: abstained (size is not an identity claim) ; vocabulary: abstained (size is text, not a controlled term)"
DCB518ASTS06G,ATTRIBUTE_LABEL 6,quantity,Quantity,,derived,yes,,,"dimensional: abstained (quantity is text, not a physical quantity) ; constraint: abstained (no constraint in generic mentions quantity) ; identity: abstained (quantity is not an identity claim) ; vocabulary: abstained (quantity is text, not a controlled term)"
DCB518ASTS06G,ATTRIBUTE_VALUE 6,quantity,6pc,,extracted,no,,6pc,"dimensional: abstained (quantity is text, not a physical quantity) ; constraint: abstained (no constraint in generic mentions quantity) ; identity: abstained (quantity is not an identity claim) ; vocabulary: abstained (quantity is text, not a controlled term)"
DCB518ASTS06G,UNSPSC,,31191500,,routed,yes,,Sanding | Belt,
DCB518ASTS06G,Selling Qty,quantity,6,,derived,yes,,6pc,"dimensional: abstained (quantity is text, not a physical quantity) ; constraint: abstained (no constraint in generic mentions quantity) ; identity: abstained (quantity is not an identity claim) ; vocabulary: abstained (quantity is text, not a controlled term)"
DCB518ASTS06G,Selling UOM,quantity,PK,,derived,yes,,,"dimensional: abstained (quantity is text, not a physical quantity) ; constraint: abstained (no constraint in generic mentions quantity) ; identity: abstained (quantity is not an identity claim) ; vocabulary: abstained (quantity is text, not a controlled term)"
3MABR-7100075678,Dept,,Tools & Equipment,,routed,yes,,Stikit | Disc | Cubitron | P150,
3MABR-7100075678,Class,,Power Tool Accessories,,routed,yes,,Stikit | Disc | Cubitron | P150,
3MABR-7100075678,Fine,,"Sanding Belts, Discs & Sheets",,routed,yes,,Stikit | Disc | Cubitron | P150,
3MABR-7100075678,Mfg_Part_Num,,3MABR-7100075678,,passthrough,yes,,,
3MABR-7100075678,Part_Desc,,3M 775L Stikit Film P150 - Cubitron II 50 Disc/Box,,passthrough,yes,,,
3MABR-7100075678,E1_Brand,,-- Unbranded --,,passthrough,yes,,,
3MABR-7100075678,Unilog_Brand,,-- No Unilog Brand --,,passthrough,yes,,,
3MABR-7100075678,DIB_Brand,,-- No DIB Brand --,,passthrough,yes,,,
3MABR-7100075678,Part_Manuf,,Jam Industrial Supply LLC (JAMIN),,passthrough,yes,,,
3MABR-7100075678,MANUFACTURER_NAME,,Jam Industrial Supply LLC,,passthrough,yes,,,
3MABR-7100075678,BRAND_NAME,,3M,,passthrough,yes,,,
3MABR-7100075678,MANUFACTURER_PART_NUMBER,,3MABR-7100075678,,passthrough,yes,,,
3MABR-7100075678,Classpath,,Tools & Equipment>Power Tool Accessories>Coated Abrasives,,routed,yes,,Stikit | Disc | Cubitron | P150,
3MABR-7100075678,MOBILE_DESC,,"Jam Industrial Supply LLC 3M, Stikit Film P150, 3MABR-7100075678",,composed,yes,,Stikit Film P150,
3MABR-7100075678,INVOICE_DESC,,STIKIT FILM P150,,composed,yes,,Stikit Film P150,
3MABR-7100075678,SHORT_DESC,,"3M 3MABR-7100075678 Stikit Film P150, 50 Disc/Box Quantity",,composed,yes,,Stikit Film P150 | 50 Disc/Box,
